Time,Region,Material,value
1990,LAM,ABS_ASA_SAN,0.0529
1990,OAS,ABS_ASA_SAN,0.0481
1990,SSA,ABS_ASA_SAN,0.0301
1990,EUR,ABS_ASA_SAN,0.1297
1990,NEU,ABS_ASA_SAN,0.027
1990,MEA,ABS_ASA_SAN,0.0285
1990,REF,ABS_ASA_SAN,0.0254
1990,CAZ,ABS_ASA_SAN,0.0312
1990,CHA,ABS_ASA_SAN,0.467
1990,IND,ABS_ASA_SAN,0.0507
1990,JPN,ABS_ASA_SAN,0.0418
1990,USA,ABS_ASA_SAN,0.0577
1991,LAM,ABS_ASA_SAN,0.0529
1991,OAS,ABS_ASA_SAN,0.0481
1991,SSA,ABS_ASA_SAN,0.0301
1991,EUR,ABS_ASA_SAN,0.1297
1991,NEU,ABS_ASA_SAN,0.027
1991,MEA,ABS_ASA_SAN,0.0285
1991,REF,ABS_ASA_SAN,0.0254
1991,CAZ,ABS_ASA_SAN,0.0312
1991,CHA,ABS_ASA_SAN,0.467
1991,IND,ABS_ASA_SAN,0.0507
1991,JPN,ABS_ASA_SAN,0.0418
1991,USA,ABS_ASA_SAN,0.0577
1992,LAM,ABS_ASA_SAN,0.0529
1992,OAS,ABS_ASA_SAN,0.0481
1992,SSA,ABS_ASA_SAN,0.0301
1992,EUR,ABS_ASA_SAN,0.1297
1992,NEU,ABS_ASA_SAN,0.027
1992,MEA,ABS_ASA_SAN,0.0285
1992,REF,ABS_ASA_SAN,0.0254
1992,CAZ,ABS_ASA_SAN,0.0312
1992,CHA,ABS_ASA_SAN,0.467
1992,IND,ABS_ASA_SAN,0.0507
1992,JPN,ABS_ASA_SAN,0.0418
1992,USA,ABS_ASA_SAN,0.0577
1993,LAM,ABS_ASA_SAN,0.0529
1993,OAS,ABS_ASA_SAN,0.0481
1993,SSA,ABS_ASA_SAN,0.0301
1993,EUR,ABS_ASA_SAN,0.1297
1993,NEU,ABS_ASA_SAN,0.027
1993,MEA,ABS_ASA_SAN,0.0285
1993,REF,ABS_ASA_SAN,0.0254
1993,CAZ,ABS_ASA_SAN,0.0312
1993,CHA,ABS_ASA_SAN,0.467
1993,IND,ABS_ASA_SAN,0.0507
1993,JPN,ABS_ASA_SAN,0.0418
1993,USA,ABS_ASA_SAN,0.0577
1994,LAM,ABS_ASA_SAN,0.0529
1994,OAS,ABS_ASA_SAN,0.0481
1994,SSA,ABS_ASA_SAN,0.0301
1994,EUR,ABS_ASA_SAN,0.1297
1994,NEU,ABS_ASA_SAN,0.027
1994,MEA,ABS_ASA_SAN,0.0285
1994,REF,ABS_ASA_SAN,0.0254
1994,CAZ,ABS_ASA_SAN,0.0312
1994,CHA,ABS_ASA_SAN,0.467
1994,IND,ABS_ASA_SAN,0.0507
1994,JPN,ABS_ASA_SAN,0.0418
1994,USA,ABS_ASA_SAN,0.0577
1995,LAM,ABS_ASA_SAN,0.0529
1995,OAS,ABS_ASA_SAN,0.0481
1995,SSA,ABS_ASA_SAN,0.0301
1995,EUR,ABS_ASA_SAN,0.1297
1995,NEU,ABS_ASA_SAN,0.027
1995,MEA,ABS_ASA_SAN,0.0285
1995,REF,ABS_ASA_SAN,0.0254
1995,CAZ,ABS_ASA_SAN,0.0312
1995,CHA,ABS_ASA_SAN,0.467
1995,IND,ABS_ASA_SAN,0.0507
1995,JPN,ABS_ASA_SAN,0.0418
1995,USA,ABS_ASA_SAN,0.0577
1996,LAM,ABS_ASA_SAN,0.0529
1996,OAS,ABS_ASA_SAN,0.0481
1996,SSA,ABS_ASA_SAN,0.0301
1996,EUR,ABS_ASA_SAN,0.1297
1996,NEU,ABS_ASA_SAN,0.027
1996,MEA,ABS_ASA_SAN,0.0285
1996,REF,ABS_ASA_SAN,0.0254
1996,CAZ,ABS_ASA_SAN,0.0312
1996,CHA,ABS_ASA_SAN,0.467
1996,IND,ABS_ASA_SAN,0.0507
1996,JPN,ABS_ASA_SAN,0.0418
1996,USA,ABS_ASA_SAN,0.0577
1997,LAM,ABS_ASA_SAN,0.0529
1997,OAS,ABS_ASA_SAN,0.0481
1997,SSA,ABS_ASA_SAN,0.0301
1997,EUR,ABS_ASA_SAN,0.1297
1997,NEU,ABS_ASA_SAN,0.027
1997,MEA,ABS_ASA_SAN,0.0285
1997,REF,ABS_ASA_SAN,0.0254
1997,CAZ,ABS_ASA_SAN,0.0312
1997,CHA,ABS_ASA_SAN,0.467
1997,IND,ABS_ASA_SAN,0.0507
1997,JPN,ABS_ASA_SAN,0.0418
1997,USA,ABS_ASA_SAN,0.0577
1998,LAM,ABS_ASA_SAN,0.0529
1998,OAS,ABS_ASA_SAN,0.0481
1998,SSA,ABS_ASA_SAN,0.0301
1998,EUR,ABS_ASA_SAN,0.1297
1998,NEU,ABS_ASA_SAN,0.027
1998,MEA,ABS_ASA_SAN,0.0285
1998,REF,ABS_ASA_SAN,0.0254
1998,CAZ,ABS_ASA_SAN,0.0312
1998,CHA,ABS_ASA_SAN,0.467
1998,IND,ABS_ASA_SAN,0.0507
1998,JPN,ABS_ASA_SAN,0.0418
1998,USA,ABS_ASA_SAN,0.0577
1999,LAM,ABS_ASA_SAN,0.0529
1999,OAS,ABS_ASA_SAN,0.0481
1999,SSA,ABS_ASA_SAN,0.0301
1999,EUR,ABS_ASA_SAN,0.1297
1999,NEU,ABS_ASA_SAN,0.027
1999,MEA,ABS_ASA_SAN,0.0285
1999,REF,ABS_ASA_SAN,0.0254
1999,CAZ,ABS_ASA_SAN,0.0312
1999,CHA,ABS_ASA_SAN,0.467
1999,IND,ABS_ASA_SAN,0.0507
1999,JPN,ABS_ASA_SAN,0.0418
1999,USA,ABS_ASA_SAN,0.0577
2000,LAM,ABS_ASA_SAN,0.0529
2000,OAS,ABS_ASA_SAN,0.0481
2000,SSA,ABS_ASA_SAN,0.0301
2000,EUR,ABS_ASA_SAN,0.1297
2000,NEU,ABS_ASA_SAN,0.027
2000,MEA,ABS_ASA_SAN,0.0285
2000,REF,ABS_ASA_SAN,0.0254
2000,CAZ,ABS_ASA_SAN,0.0312
2000,CHA,ABS_ASA_SAN,0.467
2000,IND,ABS_ASA_SAN,0.0507
2000,JPN,ABS_ASA_SAN,0.0418
2000,USA,ABS_ASA_SAN,0.0577
2001,LAM,ABS_ASA_SAN,0.0555
2001,OAS,ABS_ASA_SAN,0.0506
2001,SSA,ABS_ASA_SAN,0.0316
2001,EUR,ABS_ASA_SAN,0.1297
2001,NEU,ABS_ASA_SAN,0.0295
2001,MEA,ABS_ASA_SAN,0.0299
2001,REF,ABS_ASA_SAN,0.0266
